id,title,scope,stage,state,contract,tests,operations
roundtrip.udiv,udiv: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.udiv.scalar,llvm.udiv
execute.udiv,udiv: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.udiv.i8-0 execute.udiv.i8-1 execute.udiv.i8-2 execute.udiv.i8-3 execute.udiv.i32-0 execute.udiv.i32-1 execute.udiv.i32-2 execute.udiv.i32-3 execute.udiv.i64-0 execute.udiv.i64-1 execute.udiv.i64-2 execute.udiv.i64-3 execute.udiv.i128-0 execute.udiv.i128-1 execute.udiv.i128-2 execute.udiv.i128-3,llvm.udiv
verify.sdiv.scalar,sdiv: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.sdiv.scalar.i1 verify.sdiv.scalar.i8 verify.sdiv.scalar.i32 verify.sdiv.scalar.i64 verify.sdiv.scalar.i128,llvm.sdiv
verify.sdiv.vectors,sdiv: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.sdiv.vectors.fixed verify.sdiv.vectors.scalable,llvm.sdiv
verify.sdiv.mismatch,sdiv: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.sdiv.mismatch.i32-i64,llvm.sdiv
roundtrip.sdiv,sdiv: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.sdiv.scalar,llvm.sdiv
execute.sdiv,sdiv: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.sdiv.i8-0 execute.sdiv.i8-1 execute.sdiv.i8-2 execute.sdiv.i8-3 execute.sdiv.i32-0 execute.sdiv.i32-1 execute.sdiv.i32-2 execute.sdiv.i32-3 execute.sdiv.i64-0 execute.sdiv.i64-1 execute.sdiv.i64-2 execute.sdiv.i64-3 execute.sdiv.i128-0 execute.sdiv.i128-1 execute.sdiv.i128-2 execute.sdiv.i128-3,llvm.sdiv
verify.urem.scalar,urem: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.urem.scalar.i1 verify.urem.scalar.i8 verify.urem.scalar.i32 verify.urem.scalar.i64 verify.urem.scalar.i128,llvm.urem
verify.urem.vectors,urem: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.urem.vectors.fixed verify.urem.vectors.scalable,llvm.urem
verify.urem.mismatch,urem: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.urem.mismatch.i32-i64,llvm.urem
roundtrip.urem,urem: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.urem.scalar,llvm.urem
execute.urem,urem: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.urem.i8-0 execute.urem.i8-1 execute.urem.i8-2 execute.urem.i8-3 execute.urem.i32-0 execute.urem.i32-1 execute.urem.i32-2 execute.urem.i32-3 execute.urem.i64-0 execute.urem.i64-1 execute.urem.i64-2 execute.urem.i64-3 execute.urem.i128-0 execute.urem.i128-1 execute.urem.i128-2 execute.urem.i128-3,llvm.urem
verify.srem.scalar,srem: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.srem.scalar.i1 verify.srem.scalar.i8 verify.srem.scalar.i32 verify.srem.scalar.i64 verify.srem.scalar.i128,llvm.srem
verify.srem.vectors,srem: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.srem.vectors.fixed verify.srem.vectors.scalable,llvm.srem
verify.srem.mismatch,srem: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.srem.mismatch.i32-i64,llvm.srem
roundtrip.srem,srem: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.srem.scalar,llvm.srem
execute.srem,srem: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.srem.i8-0 execute.srem.i8-1 execute.srem.i8-2 execute.srem.i8-3 execute.srem.i32-0 execute.srem.i32-1 execute.srem.i32-2 execute.srem.i32-3 execute.srem.i64-0 execute.srem.i64-1 execute.srem.i64-2 execute.srem.i64-3 execute.srem.i128-0 execute.srem.i128-1 execute.srem.i128-2 execute.srem.i128-3,llvm.srem
roundtrip.add.flags,add: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.add.flags.nsw roundtrip.add.flags.nuw roundtrip.add.flags.both,llvm.add
roundtrip.sub.flags,sub: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.sub.flags.nsw roundtrip.sub.flags.nuw roundtrip.sub.flags.both,llvm.sub
roundtrip.mul.flags,mul: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.mul.flags.nsw roundtrip.mul.flags.nuw roundtrip.mul.flags.both,llvm.mul
roundtrip.shl.flags,shl: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.shl.flags.nsw roundtrip.shl.flags.nuw roundtrip.shl.flags.both,llvm.shl
roundtrip.udiv.flags,udiv: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.udiv.flags.exact,llvm.udiv
roundtrip.sdiv.flags,sdiv: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.sdiv.flags.exact,llvm.sdiv
roundtrip.lshr.flags,lshr: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.lshr.flags.exact,llvm.lshr
roundtrip.ashr.flags,ashr: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.ashr.flags.exact,llvm.ashr
roundtrip.or.flags,or: preserve semantic flags,llvm-compat,roundtrip,specified,Preserve the standard LLVM dialect property encoding and its meaning through both parsers; dropping a flag is failure.,roundtrip.or.flags.disjoint,llvm.or
verify.fadd.types,fadd: floating-point types,llvm-compat,verification,specified,"Accept homogeneous f16, bf16, f32, f64 and f128 operands; acceptance is distinct from execution support.",verify.fadd.types.f16 verify.fadd.types.bf16 verify.fadd.types.f32 verify.fadd.types.f64 verify.fadd.types.f128,llvm.fadd
roundtrip.fadd.fastmath,fadd: fast-math flags,llvm-compat,roundtrip,specified,"Preserve none, nnan, ninf, nsz and fast flag sets in canonical MLIR, without inferring semantic correctness.",roundtrip.fadd.fastmath.none roundtrip.fadd.fastmath.nnan roundtrip.fadd.fastmath.ninf roundtrip.fadd.fastmath.nsz roundtrip.fadd.fastmath.fast,llvm.fadd
verify.fsub.types,fsub: floating-point types,llvm-compat,verification,specified,"Accept homogeneous f16, bf16, f32, f64 and f128 operands; acceptance is distinct from execution support.",verify.fsub.types.f16 verify.fsub.types.bf16 verify.fsub.types.f32 verify.fsub.types.f64 verify.fsub.types.f128,llvm.fsub
roundtrip.fsub.fastmath,fsub: fast-math flags,llvm-compat,roundtrip,specified,"Preserve none, nnan, ninf, nsz and fast flag sets in canonical MLIR, without inferring semantic correctness.",roundtrip.fsub.fastmath.none roundtrip.fsub.fastmath.nnan roundtrip.fsub.fastmath.ninf roundtrip.fsub.fastmath.nsz roundtrip.fsub.fastmath.fast,llvm.fsub
verify.fmul.types,fmul: floating-point types,llvm-compat,verification,specified,"Accept homogeneous f16, bf16, f32, f64 and f128 operands; acceptance is distinct from execution support.",verify.fmul.types.f16 verify.fmul.types.bf16 verify.fmul.types.f32 verify.fmul.types.f64 verify.fmul.types.f128,llvm.fmul
roundtrip.fmul.fastmath,fmul: fast-math flags,llvm-compat,roundtrip,specified,"Preserve none, nnan, ninf, nsz and fast flag sets in canonical MLIR, without inferring semantic correctness.",roundtrip.fmul.fastmath.none roundtrip.fmul.fastmath.nnan roundtrip.fmul.fastmath.ninf roundtrip.fmul.fastmath.nsz roundtrip.fmul.fastmath.fast,llvm.fmul
verify.fdiv.types,fdiv: floating-point types,llvm-compat,verification,specified,"Accept homogeneous f16, bf16, f32, f64 and f128 operands; acceptance is distinct from execution support.",verify.fdiv.types.f16 verify.fdiv.types.bf16 verify.fdiv.types.f32 verify.fdiv.types.f64 verify.fdiv.types.f128,llvm.fdiv
roundtrip.fdiv.fastmath,fdiv: fast-math flags,llvm-compat,roundtrip,specified,"Preserve none, nnan, ninf, nsz and fast flag sets in canonical MLIR, without inferring semantic correctness.",roundtrip.fdiv.fastmath.none roundtrip.fdiv.fastmath.nnan roundtrip.fdiv.fastmath.ninf roundtrip.fdiv.fastmath.nsz roundtrip.fdiv.fastmath.fast,llvm.fdiv
verify.frem.types,frem: floating-point types,llvm-compat,verification,specified,"Accept homogeneous f16, bf16, f32, f64 and f128 operands; acceptance is distinct from execution support.",verify.frem.types.f16 verify.frem.types.bf16 verify.frem.types.f32 verify.frem.types.f64 verify.frem.types.f128,llvm.frem
roundtrip.frem.fastmath,frem: fast-math flags,llvm-compat,roundtrip,specified,"Preserve none, nnan, ninf, nsz and fast flag sets in canonical MLIR, without inferring semantic correctness.",roundtrip.frem.fastmath.none roundtrip.frem.fastmath.nnan roundtrip.frem.fastmath.ninf roundtrip.frem.fastmath.nsz roundtrip.frem.fastmath.fast,llvm.frem
execute.flags.nsw,nsw: defined flagged execution,llvm-execution,execution,specified,Use the standard property spelling on non-violating inputs and compare the entire result with LLVM and a mathematical expectation. Poison-producing inputs have separate model contracts.,execute.flags.nsw.add execute.flags.nsw.sub execute.flags.nsw.mul execute.flags.nsw.shl,llvm.add llvm.sub llvm.mul llvm.shl
execute.flags.nuw,nuw: defined flagged execution,llvm-execution,execution,specified,Use the standard property spelling on non-violating inputs and compare the entire result with LLVM and a mathematical expectation. Poison-producing inputs have separate model contracts.,execute.flags.nuw.add execute.flags.nuw.sub execute.flags.nuw.mul execute.flags.nuw.shl,llvm.add llvm.sub llvm.mul llvm.shl
execute.flags.nsw-nuw,nsw-nuw: defined flagged execution,llvm-execution,execution,specified,Use the standard property spelling on non-violating inputs and compare the entire result with LLVM and a mathematical expectation. Poison-producing inputs have separate model contracts.,execute.flags.nsw-nuw.add execute.flags.nsw-nuw.sub execute.flags.nsw-nuw.mul execute.flags.nsw-nuw.shl,llvm.add llvm.sub llvm.mul llvm.shl
execute.flags.exact,exact: defined flagged execution,llvm-execution,execution,specified,Use the standard property spelling on non-violating inputs and compare the entire result with LLVM and a mathematical expectation. Poison-producing inputs have separate model contracts.,execute.flags.exact.udiv execute.flags.exact.sdiv execute.flags.exact.lshr execute.flags.exact.ashr,llvm.udiv llvm.sdiv llvm.lshr llvm.ashr
execute.flags.disjoint,disjoint: defined flagged execution,llvm-execution,execution,specified,Use the standard property spelling on non-violating inputs and compare the entire result with LLVM and a mathematical expectation. Poison-producing inputs have separate model contracts.,execute.flags.disjoint.or,llvm.or
execute.trunc,trunc: bit-accurate conversion,llvm-execution,execution,specified,"Match LLVM and mathematical truncation/extension at zero, positive maximum, sign bit and all ones.",execute.trunc.0 execute.trunc.1 execute.trunc.2 execute.trunc.3,llvm.trunc
execute.zext,zext: bit-accurate conversion,llvm-execution,execution,specified,"Match LLVM and mathematical truncation/extension at zero, positive maximum, sign bit and all ones.",execute.zext.0 execute.zext.1 execute.zext.2 execute.zext.3,llvm.zext
execute.sext,sext: bit-accurate conversion,llvm-execution,execution,specified,"Match LLVM and mathematical truncation/extension at zero, positive maximum, sign bit and all ones.",execute.sext.0 execute.sext.1 execute.sext.2 execute.sext.3,llvm.sext
execute.icmp.eq,icmp eq: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.eq.0 execute.icmp.eq.1 execute.icmp.eq.2 execute.icmp.eq.3,llvm.icmp
execute.icmp.ne,icmp ne: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.ne.0 execute.icmp.ne.1 execute.icmp.ne.2 execute.icmp.ne.3,llvm.icmp
execute.icmp.slt,icmp slt: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.slt.0 execute.icmp.slt.1 execute.icmp.slt.2 execute.icmp.slt.3,llvm.icmp
execute.icmp.sle,icmp sle: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.sle.0 execute.icmp.sle.1 execute.icmp.sle.2 execute.icmp.sle.3,llvm.icmp
execute.icmp.sgt,icmp sgt: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.sgt.0 execute.icmp.sgt.1 execute.icmp.sgt.2 execute.icmp.sgt.3,llvm.icmp
execute.icmp.sge,icmp sge: signedness and equality,llvm-execution,execution,specified,"Compare signed and unsigned interpretations, returning the full i1 result; no exit-code approximation.",execute.icmp.sge.0 execute.icmp.sge.1 execute.icmp.sge.2 execute.icmp.sge.3,llvm.icmp
